,CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,MONTHLY_AVERAGE_PURCHASE,LIMIT_USAGE,PAYMENTS_TO_MINIMUM_PAYMENT_RATIO,AVERAGE_AMOUNT_PER_PURCHASE,MONTHLY_CASH_ADVANCE,MONTHLY_INSTALLMENTS_PURCHASES,MONTHLY_ONEOFF_PURCHASES,MONTHLY_CASH_ADVANCE_TRANSACTION
2775,C12853,2748.868773,1,598.5,598.5,1640.726864,3689.81864,0.333333,0.333333,0.704311598,0.357575328,11.30746217,34,2000,518.300462,28483.25483,0.085359988,12,149.6251496,1.374434387,0.018196673,17.60294118,859.9163934,194.1289041,149.6251496,326.3171332
388,C10400,7957.017218,1,2847.934155,212.4061498,2635.528005,4909.937494,0.757623864,0.083333,0.757623864,0.25,4,104.6270695,9000,677.144841,27631.45072,0.083333,12,313.2528655,0.884113024,0.024506308,27.21985973,1636.645831,289.8896726,212.4069994,1227.484374
1684,C11738,3740.907731,1,3008.092122,146.695875,2861.396247,116.632141,1,0.083333,0.976242256,0.083333,1,104.2621318,4000,128.371777,27146.02678,0.085492873,12,250.6743435,0.935226933,0.004728934,28.85124321,116.6326075,244.2525775,146.6964618,116.632141
6624,C16806,3345.311478,1,767.13,20,747.13,408.4111492,1,0.083333,1,0.13310198,4.05302424,70,3000,976.91687,26873.51595,0.091457855,12,63.9275,1.115103826,0.036352403,10.959,255.7006469,62.26083333,20.00008,100.7670137
2789,C12868,3003.711667,1,349.45,190.1990174,349.45,3031.418865,0.636364,0.126635818,0.636364,0.269121968,8.794219886,7,2750,195.830629,26378.90782,0.086125557,11,49.92140004,1.092258788,0.007423758,49.92142857,1024.009801,49.92140004,136.5397252,344.7058301
2424,C12497,3034.686119,1,2952.048563,146.6995571,2805.349006,370.098258,1,0.083333,0.974793276,0.083333,2,100.0096999,3000,91.692752,26143.17049,0.085624603,12,246.0040469,1.01156204,0.003507331,29.51762245,370.0997384,239.8242679,146.7001439,185.049129
4659,C14785,6983.408463,1,2402.252119,1567.03841,835.213709,3354.686368,0.943755642,0.565008889,0.631194836,0.333333,11,30.42207903,7700,1116.896212,25697.63772,0.22324521,12,212.1181243,0.906936164,0.043462992,78.96410094,838.6724307,110.2688717,231.1229732,304.971488
8027,C18243,5134.553859,1,2502.34,669,1833.34,872.4959685,0.833333,0.083333,0.833333,0.230407443,5.68013422,67,6000,528.134435,25312.16069,0.094062739,12,250.2341001,0.855758977,0.02086485,37.34835821,315.5627109,183.3340733,669.002676,153.6048154
698,C10724,4414.952906,1,419.64,107.6217822,419.64,560.8986355,1,0.132887699,1,0.083333,3.108017203,12,4200,467.204852,24302.09819,0.086274844,12,34.97,1.051179263,0.019224877,34.97,560.9008791,34.97,67.48918014,180.4683175
5717,C15875,6851.39075,0.909091,4004,117,3887,10616.27014,0.909091,0.181818,0.818182,0.363636,17,18,7500,6746.5317,22011.7798,0.158164641,11,400.39996,0.913518767,0.30649642,222.4444444,2654.070189,431.8887929,58.5000585,624.4864788
3807,C13914,14100.2511,1,4995.8,3403.11,1592.69,20712.67008,1,1,0.333333,0.833333,36,34,16500,20418.33238,21235.0653,0.114067221,12,416.3166667,0.854560673,0.961538479,146.9352941,2071.267837,398.1728982,283.5925,575.3519467
6143,C16313,4028.03648,1,35,35,226.557429,2128.151322,0.083333,0.083333,0.542515373,0.278087699,7.546760096,1,4000,328.496865,20551.61978,0.094171725,12,35.00014,1.00700912,0.015983989,35,637.7338671,34.80046224,35.00014,281.9953589
8009,C18225,1718.885963,1,578.78,62.70455298,578.78,535.4718444,0.666667,0.097589781,0.666667,0.126863132,4.003040524,14,1000,294.153872,20316.09631,0.093130481,12,72.34746383,1.718885963,0.014478858,41.34142857,351.7385474,72.34746383,53.54432974,133.7662812
520,C10543,1874.601636,1,305.78,104.2834903,305.78,544.8457721,0.583333,0.130260002,0.583333,0.083333,3.155315661,14,1500,518.757481,19977.00572,0.086534842,12,43.6828821,1.249734424,0.02596773,21.84142857,544.8479514,43.6828821,66.71496049,172.6755199
3748,C13853,1487.509392,1,34.52,1084.388229,34.52,3731.072677,0.166667,0.274752419,0.166667,0.376712257,11.3976353,2,2000,2133.989319,19443.45352,0.177661799,12,17.25996548,0.743754696,0.109753615,17.26,825.3586585,17.25996548,328.8985992,327.35498
1677,C11731,7499.30365,1,350.57,350.57,2356.925548,948.293789,0.083333,0.083333,0.709078369,0.25,6,3,7500,1326.434054,19060.53475,0.103727986,12,350.5714023,0.999907153,0.0695906,116.8566667,316.0979297,276.9940122,350.5714023,158.0489648
3146,C13235,1884.252524,1,1358.88,116.63,1242.25,1126.340087,1,0.166667,1,0.164348145,4.606305656,79,1200,303.560901,18959.86938,0.085893236,12,113.24,1.570210437,0.016010706,17.20101266,571.114897,103.5208333,58.31488337,244.5213522
5666,C15823,2431.019916,0.818182,729.82,729.82,315.9157335,2555.909872,0.181818,0.181818,0.603260898,0.181818,13,4,3500,46.969049,18924.00199,0.096631342,11,364.9103649,0.694577119,0.002481983,182.455,1277.956214,47.60728274,364.9103649,196.6084517
139,C10144,19043.13856,1,22009.92,9449.07,12560.85,9265.833152,1,0.75,1,0.63486227,28.88271226,216,18000,23018.57583,18621.01331,0.305719815,12,1834.16,1.057952142,1.23616129,101.8977778,1216.252405,1046.7375,1049.896667,320.8089693
35,C10035,3517.101616,0.727273,547.28,308.497415,547.28,4903.930449,1,0.27879568,1,0.37533781,10.03861508,14,11000,8735.607835,17862.55831,0.103799248,12,45.60666667,0.319736511,0.489045728,39.09142857,1088.781519,45.60666667,92.21132082,488.5066727
1028,C11062,2294.145941,1,29.29,457.5587111,29.29,137.256946,0.083333,0.299906382,0.083333,0.083333,2,1,2100,149.363733,17693.07847,0.086340978,12,29.29011716,1.092450448,0.00844193,29.29,137.257495,29.29011716,127.1393171,68.628473
2899,C12982,2964.124423,1,118.05,142.363823,118.05,157.301178,0.083333,0.138163794,0.083333,0.25,4,2,3000,359.886515,17563.48542,0.088416616,12,118.0504722,0.988041474,0.020490609,59.025,52.433726,118.0504722,85.86657578,39.3252945
394,C10407,11209.37076,1,11147.33,1137.4,10009.93,2728.576925,1,0.25,1,0.166667,8,126,11000,7932.77402,17494.90735,0.083333,12,928.9441667,1.019033705,0.453433326,88.47087302,1364.285734,834.1608333,379.1333333,341.0721156
8725,C18961,3002.791004,1,2463,2463,354.6283522,797.15895,0.166667,0.166667,0.902751704,0.166667,3,3,3000,431.716492,16638.73385,0.099387631,12,1231.497537,1.000930335,0.025946475,821,398.5786778,32.73587028,1231.497537,265.71965
4284,C14401,2339.037958,1,1823.56,139.0705379,1823.56,435.165222,1,0.15023522,1,0.083333,2,20,1800,890.623152,16638.3541,0.10242255,12,151.9633333,1.299465532,0.053528321,91.178,435.1669627,151.9633333,77.14044342,217.582611
5836,C15998,2569.237357,1,1134.468565,505.9850369,628.4835282,498.667849,0.976038279,0.183173582,0.840788138,0.25,14,26.29786174,2500,188.855192,16536.25119,0.177413163,12,96.85997883,1.027694943,0.011420678,43.13919422,166.2226163,62.2911111,230.1937827,35.61913207
7413,C17614,2383.427985,1,95.08,95.08,267.7918908,2437.054164,0.083333,0.083333,0.535491024,0.166667,4,3,2500,145.154675,16415.73279,0.089082307,12,95.08038032,0.953371194,0.008842412,31.69333333,1218.524645,41.67388415,95.08038032,609.263541
667,C10693,1418.254924,1,362.13,104.5203364,362.13,545.3015474,1,0.130447409,1,0.083333,3.151942337,19,1200,496.114334,15914.72154,0.086526193,12,30.1775,1.181879103,0.031173297,19.05947368,545.3037286,30.1775,66.77041816,173.0049249
502,C10523,13479.28821,1,41050.4,40624.06,426.34,559.6502558,0.833333,0.666667,0.416667,0.083376369,1.001873525,157,17000,36066.75068,15914.48462,0.083333,12,4105.041642,0.792899306,2.266284554,261.4675159,559.3613882,85.26793179,5078.004961,558.6036978
2405,C12477,1553.505165,1,522,253.0909777,522,526.3491283,1,0.185932006,1,0.115388295,3.595705241,14,1000,472.580919,15584.09742,0.088430918,12,43.5,1.553505165,0.030324561,37.28571429,380.1289147,43.5,113.4334816,146.3827241
5742,C15901,4932.396527,1,2241.426208,1091.426418,1149.99979,245.596578,0.801116687,0.450149942,0.715970069,0.166667,3,22.54100619,6000,5403.894447,14437.12209,0.089614151,12,233.1564432,0.822066088,0.374305517,99.43771761,122.7980434,133.8510086,202.0486798,81.865526
7350,C17548,1809.917132,1,266.64,64.90257236,266.64,630.160006,1,0.083333,1,0.152690426,4.868485588,24,2500,77.991128,13916.7029,0.094125527,12,22.22,0.723966853,0.005604138,11.11,343.9202783,22.22,64.90283197,129.4365557
8689,C18925,2898.484109,1,735.1427095,213.7269084,521.4158011,3021.097135,1,0.153530559,0.915331096,0.272727,5,15.13474326,3000,230.794237,13916.08593,0.09125998,11,66.8311554,0.96616137,0.016584709,48.57318665,1007.033385,51.78610959,126.552779,604.219427
4087,C14202,6832.111113,1,6508.08,481.4525767,6508.08,3840.532285,1,0.355049234,1,0.314017323,5.721357398,72,6000,8210.115891,13621.70839,0.131505431,12,542.34,1.138685186,0.602722923,90.39,1019.193317,542.34,113.0013648,671.2624327
7880,C18093,1381.080028,1,360,62.87410887,360,526.9702923,0.666667,0.098670652,0.666667,0.125586584,3.984963987,8,1000,115.649241,13564.39121,0.092929062,12,44.9999775,1.381080028,0.008525944,45,349.672628,44.9999775,53.10098767,132.2396624
21,C10021,2016.684686,1,176.68,101.6241924,176.68,520.4115829,0.666667,0.128183416,0.666667,0.083333,3.192694134,8,2000,223.0686,13557.29726,0.086908988,12,22.08498896,1.008342343,0.016453766,22.085,520.4136646,22.08498896,66.06691406,163.0007639
2701,C12777,1555.053764,1,168,132.697228,168,949.3388613,0.333333,0.132387443,0.25,0.212883819,7.046978955,6,1500,192.947097,13453.34489,0.088679186,12,42.000042,1.036702509,0.014341942,28,371.6185302,56,83.52833204,134.7157225
5080,C15222,2948.447663,1,1750.949762,1051.856981,699.0927813,1539.285222,0.978456645,0.330766141,0.74954696,0.333333,13,26.89567714,3000,207.448103,13350.55682,0.179871515,12,149.1251358,0.982815888,0.015538536,65.10153111,384.8216903,77.72392504,265.0052032,118.4065555
7838,C18050,1659.190866,1,770.9,281.5568855,770.9,1191.521187,1,0.170072553,0.916667,0.083333,1,24,2500,58.892213,13333.79401,0.091026007,12,64.24166667,0.663676346,0.004416763,32.12083333,1191.525953,70.0817927,137.9592023,1191.521187
1017,C11051,2128.151695,1,1233.850445,106.9496193,1126.900826,19.345729,1,0.132344015,0.968676045,0.083333,1,30.25664191,2100,138.907177,13266.3819,0.086180735,12,102.8208705,1.013405569,0.010470615,40.77949064,19.34580638,96.94510629,67.34319095,19.345729
6577,C16757,4415.526081,1,1619.53892,730.5113246,889.0275958,1592.287186,0.969058371,0.212256558,0.840090403,0.5,12,29.25471811,4500,1357.018977,12926.38296,0.091775894,12,139.2708435,0.981228018,0.104980564,55.35992226,265.3811977,88.18769116,286.8035935,132.6905988
801,C10829,5359.980872,1,4530.464802,838.6474417,3691.81736,1113.868654,1,0.218615901,1,0.25,3,136.6422826,6000,638.144031,12866.94167,0.083333,12,377.5387335,0.893330145,0.049595626,33.15565808,371.2895513,307.6514467,319.6807119,371.2895513
151,C10156,7679.62904,1,4059.93,305.6284732,4059.93,555.469352,0.583333,0.263421995,0.5,0.166667,7,14,7000,3685.61062,12854.9397,0.10499572,12,579.9903314,1.097089863,0.286707733,289.995,277.7341205,676.655,96.68531831,79.35276457
8252,C18472,2149.205166,0.909091,512.2128374,64.14510087,448.0677365,1114.317913,0.909272758,0.0979467,0.811326058,0.181818,2,17.5585714,3000,3230.180347,12748.98306,0.093492313,11,51.2110398,0.716401722,0.253367687,29.17166925,557.1595137,50.20599323,59.53618467,557.1589565
8052,C18269,1601.393425,1,190,190,293.3531124,18.638559,0.25,0.25,0.789800897,0.083333,1,6,1500,182.637387,12496.86093,0.235187813,12,63.33333333,1.067595617,0.014614661,31.66666667,18.63863355,30.952222,63.33333333,18.638559
20,C10020,3577.970933,1,398.64,108.415163,398.64,548.2217815,1,0.133535775,1,0.083333,3.096351849,12,4000,1053.980464,12465.54938,0.086449578,12,33.22,0.894492733,0.084551465,33.22,548.2239744,33.22,67.65675252,177.0540973
4603,C14728,5376.083101,1,3135.909669,1323.053114,1812.856555,2293.529361,0.972441115,0.375566536,0.724410159,0.333333,8,32.20544853,5500,3202.100651,12449.67391,0.236428637,12,268.7317532,0.977469655,0.257203576,97.37202283,573.3829136,208.5439827,293.5682909,286.6911701
1697,C11752,1134.122053,1,288.39,182.9148538,288.39,1334.428832,0.416667,0.130568398,0.416667,0.233037755,8.087743657,10,1400,2155.314664,12256.99852,0.083333,12,57.67795386,0.810087181,0.175843593,28.839,477.1862079,57.67795386,116.7426787,164.9939573
1013,C11047,12373.33348,1,830.15,200,630.15,10249.921,0.75,0.166667,0.583333,0.916667,26,14,11000,14040.86635,12245.92601,0.085407775,12,92.23888889,1.124848498,1.146574488,59.29642857,931.8106612,90.02148001,99.9998,394.2277308
7047,C17237,2980.054695,0.818182,26784.62,26514.32,270.3,1688.016836,0.583333,0.5,0.083333,0.267180898,6.363705328,33,30000,30029.01496,11853.79613,0.75,12,3826.376472,0.099335157,2.533282556,811.6551515,526.4899951,270.3010812,4419.053333,265.2569138
8275,C18495,1410.909779,1,698.88,53.77386099,698.88,948.848018,1,0.084536408,1,0.166667,8,12,1200,79.578186,11795.28096,0.083333,12,58.24,1.175758149,0.006746612,58.24,474.4230602,58.24,53.00858145,118.6060023
2600,C12675,3586.05105,1,141,40,101,1072.395255,0.5,0.083333,0.416667,0.25,3,7,4350,3843.798591,11760.91651,0.088241291,12,23.5,0.824379552,0.32682815,20.14285714,357.465085,20.19998384,40.00016,357.465085
2824,C12905,11642.60156,1,15108.47,2370,12738.47,15110.73442,1,0.5,1,0.998628415,47.92759786,298,12000,16005.45204,11652.56511,0.167294114,12,1259.039167,0.970216797,1.373556113,50.69956376,1260.957378,1061.539167,395,315.2825323
6602,C16782,4616.991666,1,1189.367409,515.3022477,674.0651609,2810.591083,0.955925426,0.303352653,0.800244949,0.083333,8,27.50717564,5000,584.413797,11203.9623,0.091308295,12,103.6837686,0.923398333,0.05216135,43.23844164,2810.602325,70.1936286,141.5575354,351.3238854
5006,C15146,6963.435383,1,2951.93,2951.93,290.4024312,2817.703137,0.333333,0.333333,0.32241994,0.274602495,15.08691613,10,8000,1069.094662,11142.93224,0.097391755,12,737.983238,0.870429423,0.095943746,295.193,855.085439,75.05802089,737.983238,186.7646849
6907,C17095,1807.764778,1,1666.2,522.5711115,1666.2,503.3547583,1,0.343515923,1,0.105970238,3.502557673,60,1500,1662.438437,11116.45317,0.086966708,12,138.85,1.205176519,0.149547559,27.77,395.8302886,138.85,126.7702303,143.7106267
988,C11021,3421.5478,1,36,770.4650762,36,19.042417,0.083333,0.197199427,0.083333,0.083333,1,1,3500,404.993426,10849.43809,0.083333,12,36.000144,0.977585086,0.037328516,36,19.04249317,36.000144,325.5862554,19.042417
6439,C16614,1540.478248,1,1494.11,171.51,1322.6,320.569363,1,0.083333,1,0.083333,4,51,1000,347.092355,10830.18182,0.087733448,12,124.5091667,1.540478248,0.032048618,29.29627451,320.5706453,110.2166667,171.510686,80.14234075
1840,C11900,915.717703,1,55.49,129.5023306,55.49,935.9495773,0.416667,0.130516085,0.416667,0.21109177,6.977992876,7,1000,1221.513652,10800.04619,0.083333,12,11.09799112,0.915717703,0.113102632,7.927142857,369.4876318,11.09799112,82.68606045,134.1287665
820,C10849,2406.569238,1,1991.634348,120.0857712,1871.548577,94.706407,1,0.083333,0.968954427,0.25,4,35.37272212,2400,314.272712,10774.73572,0.086155426,12,165.969529,1.002737183,0.029167556,56.30424318,31.56880233,160.9594601,120.0862515,23.67660175
3287,C13380,1484.693487,1,399.96,248.9880636,399.96,515.3621009,1,0.181276351,1,0.116113198,3.712127381,12,1200,185.006776,10729.24905,0.088691972,12,33.33,1.237244573,0.017243218,33.33,369.8704597,33.33,114.46063,138.8320087
8471,C18700,2046.727519,0.818182,1369.72,422.44,947.28,1817.810563,0.75,0.166667,0.666667,0.166667,4,17,2500,242.742734,10729.19416,0.095874341,12,152.1911111,0.818691008,0.022624508,80.57176471,908.9034637,118.4099408,211.2195776,454.4526408
572,C10595,2627.184835,1,2077.415007,125.0936917,1952.321315,3216.192328,1,0.083333,0.971061832,0.083333,7,36.21864688,3150,394.285767,10636.14839,0.085963837,12,173.1179173,0.834026932,0.037070352,57.35760957,3216.205193,167.5417955,125.0941921,459.4560469
650,C10675,1728.079372,1,1227.055981,105.4534253,1121.602555,1662.824051,1,0.131157981,0.968312666,0.166667,4,30.2392295,1800,141.505315,10592.53719,0.08621377,12,102.2546651,0.960044096,0.013358963,40.57828195,831.4103627,96.52551589,67.00153028,415.7060128
3589,C13689,2473.466078,1,1538.929552,479.8614786,1059.068073,944.4812,0.976457681,0.238123273,0.870464674,0.272727,3,29.09527095,2500,156.061607,10474.56452,0.090472009,11,143.2757294,0.989386431,0.014899102,52.89277265,314.8273815,110.6063446,183.1982665,314.8270667
3182,C13272,11631.32337,1,14686.1,3830.309365,14686.1,3422.724703,1,0.972094286,1,0.083333,2,347,13600,11400.6013,10285.13412,0.203002402,12,1223.841667,0.855244365,1.108454315,42.32305476,3422.738394,1223.841667,328.35544,1711.362352
6859,C17046,4338.877278,0.888889,1012.242999,400.0602637,612.1827354,5705.426498,0.961916614,0.150878508,0.849121492,0.444444,19,17.4050259,6000,217.059511,10057.56192,0.133310869,9,116.9243183,0.723146213,0.021581723,58.15808635,1426.358051,80.10668034,294.6154559,300.2856052
1767,C11826,926.341558,0.909091,45.65,45.65,342.6499836,967.0764283,0.083333,0.083333,0.577698059,0.215648789,7.134240677,1,1000,1293.650192,9957.74274,0.088586683,12,45.6501826,0.926341558,0.129914,45.65,373.7081141,49.42749046,45.6501826,135.5542197
266,C10276,8097.334733,1,3999.92,200,3799.92,3858.364904,1,0.083333,1,0.369970853,10.04241786,14,7500,5624.074339,9952.672511,0.113588725,12,333.3266667,1.079644631,0.565081824,285.7085714,869.069566,316.66,200.0008,384.2067677
91,C10095,9381.255094,1,5100.07,1147.83,3952.24,370.737197,1,0.25,0.916667,0.083333,1,46,9000,6409.496345,9827.045323,0.083333,12,425.0058333,1.042361677,0.652230262,110.871087,370.73868,359.2944148,382.61,370.737197
887,C10917,9255.143419,1,5153.28,3352.28,1801,3955.095973,1,0.583333,1,0.243607271,9.235845631,105,11500,4872.818088,9642.502512,0.083333,12,429.44,0.80479508,0.505347868,49.07885714,1352.961799,150.0833333,478.8974165,428.2332263
1698,C11753,11670.17985,1,4872.6,1886.438038,4872.6,3146.523964,1,0.268908675,1,0.331436219,12.04958101,52,11500,5031.032515,9627.891511,0.083333,12,406.05,1.014798248,0.522547695,93.70384615,791.1336043,406.05,584.5968708,261.1314004
7265,C17460,1150.867752,1,108,377.0183601,108,841.2477747,0.333333,0.189012377,0.333333,0.294691465,6.283267759,4,1000,98.195732,9448.613073,0.08624379,12,27.000027,1.150867752,0.010392608,27,237.8894185,27.000027,166.2229592,133.8869848
7708,C17913,1322.64748,1,799.92,222.5717321,799.92,750.2368478,1,0.151156458,1,0.205214562,5.464183264,20,1000,469.485706,9299.951204,0.092948005,12,66.66,1.32264748,0.050482599,39.996,304.6554629,66.66,122.7049414,137.3008209
5098,C15242,1785.90226,1,987.1732447,191.0418182,796.1314265,129.421992,0.985001558,0.231452588,0.91573405,0.166667,4,22.28006255,1800,287.777315,9294.994141,0.086903169,12,83.51706287,0.992167922,0.030960462,44.30747187,64.71086658,72.44929412,68.78364009,32.355498
1431,C11478,1227.548135,1,322,101.3787053,322,718.2588551,0.583333,0.124596617,0.583333,0.171441082,4.578874969,13,1000,133.36143,9285.151136,0.089033325,12,46.00002629,1.227548135,0.014362871,24.76923077,349.1281314,46.00002629,67.80461345,156.8636095
670,C10696,10359.45471,1,12650,12650,371.8111944,2781.682203,0.25,0.25,0.468941313,0.166667,2,10,10500,7566.470234,9170.428051,0.406695111,12,4216.666667,0.986614734,0.825094553,1265,1390.83832,66.07280126,4216.666667,1390.841102
1307,C11351,1172.344218,1,454.21,101.6298153,454.21,519.6939066,0.916667,0.128188906,0.916667,0.083333,3.192595304,21,1000,447.202927,8791.735512,0.086919231,12,41.29180317,1.172344218,0.050866285,21.62904762,519.6959853,41.29180317,66.06773962,162.7810158
5112,C15256,7057.524237,1,2761.76,163,2598.76,2317.636143,0.916667,0.166667,0.75,0.25,5,121,7000,3083.16422,8724.958739,0.091656637,12,251.0689996,1.008217748,0.353372928,22.82446281,772.545381,288.7511111,81.499837,463.5272286
4566,C14691,7867.660015,1,507,507,595.7653579,8980.648498,0.166667,0.166667,0.65885265,0.916667,43,4,8500,6802.892319,8644.138069,0.180952936,12,253.499493,0.925607061,0.78699487,126.75,816.4222938,75.35389457,253.499493,208.8522907
8273,C18493,2757.097566,1,1533.04,384.04,1149,686.790836,0.5,0.083333,0.416667,0.166667,2,7,3000,767.851514,8608.53291,0.093626911,12,255.5066667,0.919032522,0.089196559,219.0057143,343.3947312,229.7998162,384.0415362,343.395418
8615,C18848,1182.080141,1,266.68,52.19940625,266.68,848.848179,0.666667,0.102330328,0.666667,0.083333,6,8,1000,119.861878,8607.234543,0.090776451,12,33.33498333,1.182080141,0.013925713,33.335,848.8515744,33.33498333,42.50890817,141.4746965
221,C10229,9047.621884,1,11188.62,6099.16,5089.46,3044.752488,1,0.75,1,0.215223167,8.213327931,151,10000,11994.41815,8517.258683,0.083333,12,932.385,0.904762188,1.408248663,74.09682119,1178.912931,424.1216667,677.6844444,370.7087448
6783,C16970,1251.26572,1,494.04,181.9034391,494.04,463.4083739,0.727273,0.221364688,0.727273,0.083333,2.956143926,12,1000,179.372971,8411.177378,0.103020055,11,61.75497684,1.25126572,0.021325548,41.17,505.5384301,61.75497684,74.70331631,156.7611001
5489,C15642,16304.88925,1,1770.57,1128.349584,1770.57,7424.094447,0.5,0.358108356,0.416667,0.666667,13,9,19000,5337.961195,8345.641905,0.19140109,12,295.095,0.858152066,0.63961062,196.73,928.0113419,354.1137167,262.5717338,571.0841882
4982,C15122,3583.515054,1,5683.71,219.98,5463.73,2335.854888,1,0.166667,1,0.496631731,14.73664229,110,3000,4752.379612,8296.912755,0.087255939,12,473.6425,1.194505018,0.57278891,51.67009091,391.9495308,455.3108333,109.98978,158.506588
1990,C12052,1046.273731,1,420.89,45.65,375.24,502.3162515,1,0.083333,1,0.083333,3.23649907,13,1000,616.193938,8289.636536,0.087196131,12,35.07416667,1.046273731,0.074333046,32.37615385,502.3182608,31.27,45.6501826,155.2035828
563,C10586,1029.101022,1,49.1,351.1847844,49.1,1167.910303,0.25,0.194174349,0.25,0.333202873,9.662380509,3,1000,59.924534,8269.955787,0.085870606,12,16.36666667,1.029101022,0.007246053,16.36666667,292.0918947,16.36666667,150.7171205,120.8719013
79,C10082,1205.716678,1,1195.443296,104.8979231,1090.545373,38.325801,1,0.130734954,0.966266415,0.083333,1,29.42802583,1200,29.278671,8242.687678,0.0863998,12,99.62027468,1.004763898,0.003552078,40.62261271,38.3259543,94.05147445,66.86424167,38.325801
644,C10669,14411.95798,1,5958.17,3161.46,2796.71,5013.122239,1,0.583333,1,0.285306064,15.93730496,98,15000,7839.750264,8096.79502,0.083333,12,496.5141667,0.960797199,0.968253518,60.79765306,1464.252741,233.0591667,451.6374009,314.5526959
5043,C15184,1428.118364,1,119.34,106.6658314,119.34,2563.324769,0.75,0.128307754,0.666667,0.25,14,27,1200,2545.222796,7960.080674,0.090909,12,13.26,1.190098637,0.319748367,4.42,854.4415897,14.91749254,69.27733514,183.0946264
4541,C14665,8315.894044,1,8391.55,1881.194093,8391.55,3631.731755,1,0.591317566,1,0.534697715,15.18360322,199,8500,6322.388249,7912.050279,0.127113871,12,699.2958333,0.978340476,0.799083427,42.16859296,566.0101111,699.2958333,265.1133391,239.187741
